date,type,open,delta_units,exec_notional,w_before,w_after,cash_after,equity_open_after_trade,equity_after,trade_date,price
2022-10-28,buy,76.25,7238.624788363106,551945.1401126868,0.9000000000000057,0.9500000000000028,1990333.3175377327,11038667.121679535,11066173.476155251,2022-10-28,76.25
2022-10-31,buy,76.44999694824219,3618.7619090575604,276654.33690386557,0.9500000000000028,0.9750000000000014,1713560.8492320094,11066055.344753394,11136621.201980019,2022-10-31,76.44999694824219
2022-11-01,buy,76.94999694824219,1809.0678433473586,139207.76502474232,0.9750000000000014,0.9875000000000007,1574293.6424916014,11136561.760264354,11315207.209794914,2022-11-01,76.94999694824219
2022-11-04,buy,76.25,1583.1145083505703,120712.48126173098,0.9875000000000007,0.9984375000000001,1453529.6170003717,11036518.17112939,11441162.680490853,2022-11-04,76.25
2023-07-24,sell,137.64999389648438,-43158.41101596884,5940755.012930076,0.9984375000000001,0.7,7356103.397462347,19868013.575255703,20105905.16231796,2023-07-24,137.64999389648438
2023-07-25,sell,140.0,-43084.082490681336,6031771.548695387,0.7,0.4,13349108.750414267,20067138.966574498,20130329.30484666,2023-07-25,140.0
2023-07-26,sell,141.10000610351562,-14266.710442293235,2013032.9304846656,0.4,0.30000000000000004,15349203.918254707,20117391.542202435,20164471.294815097,2023-07-26,141.10000610351562
2023-07-27,sell,142.1999969482422,-7090.179932336622,1008223.5647407557,0.30000000000000004,0.25,16350947.630144875,20157991.441964507,20133175.92038889,2023-07-27,142.1999969482422
2023-07-28,sell,141.5,-3557.0982191499797,503329.3980097221,0.25,0.225,16851042.130113587,20129941.02234788,20248392.295346953,2023-07-28,141.5
2023-07-31,buy,145.1999969482422,41835.52215066094,6074517.688604087,0.225,0.525,10773930.622456467,20245798.476293918,19971252.862180207,2023-07-31,145.1999969482422
2023-08-01,buy,141.4499969482422,39709.54392839939,5616914.867488183,0.525,0.80625,5154617.332319864,19968854.43953179,19883478.92008573,2023-08-01,141.4499969482422
2023-08-02,buy,140.6999969482422,13690.206554104465,1926212.0203833035,0.80625,0.903125,3227582.819403857,19882656.427553024,19161558.697762866,2023-08-02,140.6999969482422
2023-08-04,buy,135.0500030517578,6872.5507474974365,928137.9994228892,0.903125,0.9515625,2299048.5050552143,19161162.382837113,19356929.90428231,2023-08-04,135.0500030517578
2023-08-07,buy,136.5,3434.4369679072415,468800.64611933846,0.9515625,0.97578125,1830047.6810599829,19356729.726406418,19515859.641152907,2023-08-07,136.5
2023-08-08,buy,137.64999389648438,1716.8534204208297,236324.86284208554,0.97578125,0.987890625,1593621.9075014638,19515758.730436474,19158602.315480288,2023-08-08,137.64999389648438
2023-08-11,buy,133.89999389648438,1502.745314131291,201217.58839015037,0.987890625,0.998486328125,1392318.399201071,18990403.528155524,18431039.56507334,2023-08-11,133.89999389648438
2023-10-17,sell,134.0,-42333.220721272555,5672651.576650523,0.998486328125,0.6999999999999997,7028511.844168461,18968270.199709404,18730002.5698603,2023-10-17,134.0
2023-10-18,sell,131.60000610351562,-42697.57226711844,5619000.7709580865,0.6999999999999997,0.3999999999999999,12611399.297171598,18693889.251905352,18511712.24861818,2023-10-18,131.60000610351562
2023-10-19,sell,128.39999389648438,-14417.222062753566,1851171.2248618177,0.3999999999999999,0.29999999999999993,14450673.04457123,18499814.771155994,18465213.6361958,2023-10-19,128.39999389648438
2023-10-20,sell,127.5999984741211,-7235.5853671662735,923260.6818097894,0.29999999999999993,0.24999999999999997,15367999.929979026,18459279.83979381,18439382.145643506,2023-10-20,127.5999984741211
2023-10-23,sell,127.0500030517578,-3628.3710552394955,460984.55364108755,0.24999999999999997,0.22499999999999998,15826021.735893866,18436419.397917256,18402131.191789057,2023-10-23,127.0500030517578
2023-10-24,sell,126.0,-1825.6082531536738,230026.6398973629,0.22499999999999998,0.2125,16054569.994576607,18400652.81057444,18462723.491181664,2023-10-24,126.0
2023-10-27,sell,124.1999969482422,-1615.700343967945,200669.97779009264,0.2125,0.2015625,16253950.266419442,18345679.69200409,18357589.757115602,2023-10-27,124.1999969482422
2023-10-30,buy,124.5999984741211,44199.6548521509,5507276.9271346815,0.2015625,0.5015625,10744321.732036874,18355238.149867717,18351543.673240326,2023-10-30,124.5999984741211
2023-10-31,buy,124.5500030517578,44030.16661871228,5483957.386730019,0.5015625,0.800390625,5258022.695502721,18349202.023436192,18195890.35004381,2023-10-31,124.5500030517578
2023-11-01,buy,123.25,14734.565112944316,1816035.150170387,0.800390625,0.9001953125,3441212.098323211,18195114.903034687,18580523.463467207,2023-11-01,123.25
2023-11-02,buy,126.1500015258789,7350.072593845111,927211.6689288815,0.9001953125,0.95009765625,2513604.5100116967,18580127.544084575,18957963.628739107,2023-11-02,126.1500015258789
2023-11-03,buy,128.85000610351562,3671.1166976635723,473023.4089006694,0.95009765625,0.975048828125,2040379.1201154273,18957761.64774351,19388144.40313868,2023-11-03,128.85000610351562
2023-11-06,buy,131.85000610351562,1834.4971594473548,241878.4616700158,0.975048828125,0.9875244140625,1798397.3763422784,19388041.121035546,19337215.867877908,2023-11-06,131.85000610351562
2023-11-09,buy,133.0,1605.003321582418,213465.4417704616,0.9875244140625,0.9984405517578125,1584840.784828181,19554942.666120138,19378781.862216823,2023-11-09,133.0
2024-03-14,sell,188.6499938964844,-43856.464697625466,8273521.797528428,0.9984405517578125,0.7,9805188.657763895,27669338.142877497,27448175.86581383,2024-03-14,188.6499938964844
2024-03-15,sell,186.5,-44152.56171444583,8234452.759744147,0.7,0.4,17986718.589621168,27395253.037926953,27327552.802612603,2024-03-15,186.5
